ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,CO2EMISSIONS
3.4,6,11.8,8.5,237
3.4,6,12.4,8.6,246
3.4,6,12.0,8.7,242
3.4,6,12.6,9.0,253
3.8,6,12.3,8.9,248
3.8,6,12.8,8.9,253
3.8,6,12.7,9.0,253
3.8,6,12.9,9.1,258
3.4,6,11.6,8.3,232
3.4,6,12.4,8.6,246
3.8,6,12.1,8.7,244
3.8,6,12.6,8.6,248
3.8,6,12.4,8.7,246
3.8,6,12.6,8.8,251
3.8,6,16.0,11.5,322
3.8,6,13.7,9.6,274
3.8,6,13.7,9.6,274
3.8,6,13.7,9.6,274
3.8,6,13.7,9.6,274
2.7,6,10.7,7.4,212
2.7,6,11.5,7.9,228
3.4,6,11.3,7.9,225
3.4,6,11.9,8.6,239
3.6,6,13.6,10.1,276
3.6,6,15.8,10.9,313
3.0,6,12.2,8.1,281
4.8,8,15.9,11.4,320
4.8,8,15.0,10.6,299
3.0,6,11.8,9.9,251
4.8,8,15.9,10.9,315
2.7,6,10.7,7.4,212
2.7,6,11.5,7.9,228
3.4,6,11.3,7.9,225
3.4,6,11.9,8.6,239
3.6,6,12.9,8.4,251
3.6,6,13.1,8.7,255
3.0,6,13.4,8.8,260
3.0,6,13.7,8.9,264
4.8,8,15.1,9.7,292
3.0,6,13.4,8.8,260
4.8,8,15.3,9.7,294
4.8,8,15.4,9.8,297
5.7,8,17.1,12.0,340
5.7,8,15.8,10.9,313
5.7,8,17.6,12.7,354
5.7,8,16.3,11.5,324
3.0,6,12.1,8.8,286
3.6,6,14.6,10.1,290
3.6,6,20.5,14.5,285
3.0,6,11.6,8.4,275
3.6,6,13.9,9.5,274
3.6,6,19.4,13.6,269
3.6,6,12.9,9.3,260
3.6,6,13.3,9.1,262
3.6,6,18.6,12.7,254
6.6,12,19.1,12.3,368
6.6,12,19.1,12.3,368
6.7,12,20.7,12.8,393
6.7,12,20.7,12.8,393
6.7,12,20.7,12.7,393
6.7,12,20.7,12.7,393
6.6,12,18.7,11.8,359
2.0,4,9.6,7.0,193
2.0,4,10.9,7.8,218
1.3,4,6.6,5.7,143
2.5,4,10.2,7.5,207
2.5,4,10.2,7.6,207
2.4,4,10.9,8.6,228
2.4,4,10.9,8.6,228
1.8,4,8.8,7.1,184
1.8,4,8.6,7.1,182
1.0,3,6.9,5.7,147
1.0,3,6.9,5.7,147
8.4,10,20.0,13.0,389
8.4,10,20.0,13.0,389
2.0,4,9.6,7.1,196
2.0,4,11.0,7.9,221
2.0,4,10.2,8.6,218
2.5,4,9.6,7.4,198
2.5,4,10.9,8.3,223
2.0,4,8.7,6.6,179
2.0,4,9.6,7.1,196
2.5,4,12.6,9.5,258
2.5,4,14.2,10.4,288
2.0,4,8.7,6.6,179
2.0,4,9.6,7.1,196
2.5,4,12.6,9.5,258
2.5,4,14.2,10.4,288
2.5,4,9.7,7.3,198
2.5,4,11.3,8.2,228
3.6,6,13.3,9.5,267
2.5,4,9.9,7.8,207
2.5,4,10.8,8.5,225
3.6,6,13.4,9.7,269
3.6,6,14.7,11.1,301
2.0,4,9.5,7.2,196
2.0,4,10.2,8.0,212
2.0,4,8.1,7.2,177
4.0,6,14.3,11.1,297
4.0,6,14.3,11.1,297
3.5,6,11.3,7.6,221
2.5,4,9.5,6.6,189
3.5,6,11.1,7.8,221
2.5,4,5.5,5.9,131
2.5,4,5.8,6.2,138
1.8,4,8.6,6.5,177
1.8,4,8.1,6.3,168
1.8,4,8.0,5.9,163
1.8,4,8.3,6.3,170
1.8,4,7.7,5.6,156
1.8,4,7.8,5.9,159
1.8,4,9.4,7.5,196
1.8,4,8.9,7.3,189
4.0,6,14.3,11.2,297
4.0,6,15.4,12.1,320
2.7,4,11.7,8.6,237
3.5,6,12.6,9.4,258
3.5,6,13.0,9.7,264
3.5,6,8.0,8.6,191
3.5,6,7.9,8.6,189
1.8,4,4.7,4.9,110
1.5,4,4.6,4.9,108
1.8,4,5.3,5.8,126
2.5,4,10.0,7.6,205
2.5,4,10.4,8.1,216
2.5,4,10.6,8.2,218
5.7,8,19.0,13.9,384
3.5,6,12.9,9.4,260
3.5,6,14.2,10.3,285
2.7,4,12.2,9.3,251
2.7,4,11.3,8.9,235
4.0,6,14.5,11.3,301
2.7,4,13.1,10.5,274
2.7,4,12.8,10.6,271
4.0,6,14.7,11.5,306
4.0,6,15.3,12.3,322
4.0,6,14.8,11.8,310
4.6,8,15.9,12.3,329
5.7,8,17.6,12.9,356
4.6,8,16.9,12.8,347
5.7,8,18.1,13.9,373
2.7,4,11.4,8.2,230
3.5,6,12.6,9.1,253
2.7,4,11.6,8.5,235
3.5,6,12.9,9.4,260
1.5,4,7.9,6.6,168
1.5,4,7.8,6.3,163
1.8,4,9.5,7.2,196
1.8,4,9.9,7.2,200
2.0,4,10.3,7.7,209
2.0,4,10.8,7.6,216
2.5,5,10.9,8.4,225
2.5,5,11.2,7.7,221
1.8,4,9.8,7.3,200
2.0,4,10.3,8.1,214
2.0,4,10.8,7.6,216
2.5,5,11.2,8.7,232
2.0,4,8.2,6.1,197
2.0,4,8.5,5.8,197
2.0,4,11.1,7.9,223
2.0,4,11.6,7.7,225
3.6,6,14.3,9.8,283
2.0,4,10.9,8.0,221
2.5,5,11.0,7.7,218
2.5,5,11.2,7.3,216
2.0,4,8.2,6.0,194
2.0,4,7.9,5.6,186
1.8,4,9.5,6.7,189
1.8,4,9.4,6.7,189
2.0,4,10.6,8.0,216
2.0,4,10.4,7.2,207
2.0,4,10.2,7.5,207
2.0,4,10.6,7.4,212
2.0,4,7.9,5.7,186
2.0,4,7.9,5.6,186
1.4,4,5.6,5.2,124
1.8,4,9.9,6.9,198
1.8,4,10.0,6.9,198
2.5,5,11.0,8.0,223
2.5,5,11.4,7.8,225
3.6,6,12.4,8.8,248
2.0,4,8.1,5.9,192
2.0,4,8.0,5.4,184
3.6,6,14.2,9.5,278
2.0,4,11.7,9.5,246
2.0,4,13.6,9.2,267
2.0,4,11.7,9.4,246
3.6,6,13.8,10.3,281
3.0,6,12.3,8.0,281
2.5,5,11.3,7.8,223
2.5,5,11.6,8.3,232
3.0,6,13.2,9.5,264
3.2,6,11.9,8.1,235
3.0,6,13.2,9.5,264
3.2,6,13.0,8.9,258
3.0,6,13.4,9.8,271
3.2,6,13.2,9.5,264
3.0,6,13.4,9.8,271
3.2,6,12.9,9.3,260
3.2,6,14.9,10.2,294
